GEO_ID,GEOID,NAME,S2201_C01_001E,S2201_C01_021E
0500000US45001,45001,"Abbeville County, South Carolina",9423,1718
0500000US45003,45003,"Aiken County, South Carolina",66980,9527
0500000US45005,45005,"Allendale County, South Carolina",3072,939
0500000US45007,45007,"Anderson County, South Carolina",78836,10660
0500000US45009,45009,"Bamberg County, South Carolina",4562,946
0500000US45011,45011,"Barnwell County, South Carolina",8253,2392
0500000US45013,45013,"Beaufort County, South Carolina",73337,7084
0500000US45015,45015,"Berkeley County, South Carolina",84085,8918
0500000US45017,45017,"Calhoun County, South Carolina",5789,1190
0500000US45019,45019,"Charleston County, South Carolina",167853,19555
0500000US45021,45021,"Cherokee County, South Carolina",21081,4126
0500000US45023,45023,"Chester County, South Carolina",12672,2410
0500000US45025,45025,"Chesterfield County, South Carolina",17186,3600
0500000US45027,45027,"Clarendon County, South Carolina",11585,2478
0500000US45029,45029,"Colleton County, South Carolina",15059,2439
0500000US45031,45031,"Darlington County, South Carolina",25239,4831
0500000US45033,45033,"Dillon County, South Carolina",10313,3044
0500000US45035,45035,"Dorchester County, South Carolina",58282,6242
0500000US45037,45037,"Edgefield County, South Carolina",9102,1545
0500000US45039,45039,"Fairfield County, South Carolina",8758,1581
0500000US45041,45041,"Florence County, South Carolina",51791,9294
0500000US45043,45043,"Georgetown County, South Carolina",25690,3963
0500000US45045,45045,"Greenville County, South Carolina",205490,23140
0500000US45047,45047,"Greenwood County, South Carolina",27403,4614
0500000US45049,45049,"Hampton County, South Carolina",6793,1255
0500000US45051,45051,"Horry County, South Carolina",134609,16733
0500000US45053,45053,"Jasper County, South Carolina",11084,2213
0500000US45055,45055,"Kershaw County, South Carolina",24901,3860
0500000US45057,45057,"Lancaster County, South Carolina",36597,4252
0500000US45059,45059,"Laurens County, South Carolina",25282,5324
0500000US45061,45061,"Lee County, South Carolina",6322,1545
0500000US45063,45063,"Lexington County, South Carolina",115880,13209
0500000US45065,45065,"McCormick County, South Carolina",3768,581
0500000US45067,45067,"Marion County, South Carolina",10844,2897
0500000US45069,45069,"Marlboro County, South Carolina",9331,2586
0500000US45071,45071,"Newberry County, South Carolina",15137,2138
0500000US45073,45073,"Oconee County, South Carolina",32413,4941
0500000US45075,45075,"Orangeburg County, South Carolina",32164,7983
0500000US45077,45077,"Pickens County, South Carolina",49438,8718
0500000US45079,45079,"Richland County, South Carolina",160231,27270
0500000US45081,45081,"Saluda County, South Carolina",7227,1295
0500000US45083,45083,"Spartanburg County, South Carolina",122044,17292
0500000US45085,45085,"Sumter County, South Carolina",40789,7601
0500000US45087,45087,"Union County, South Carolina",11150,2288
0500000US45089,45089,"Williamsburg County, South Carolina",12032,3403
0500000US45091,45091,"York County, South Carolina",106570,10388
